# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 314.159265 - pi/2) * fld(mod2pi(abs(x) * 314.159265 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 3.706417e-22, 2.835470e-13
4.763158e-03, 5.086116e-22, 2.798391e-13
4.526316e-03, 4.729822e-22, 3.286222e-13
4.289474e-03, 6.432558e-22, 2.489721e-13
4.052632e-03, 5.229769e-22, 2.220668e-13
3.815789e-03, 5.889733e-22, 2.297550e-13
3.578947e-03, 5.549524e-22, 1.534358e-13
3.342105e-03, 4.712796e-22, 1.503721e-13
3.105263e-03, 6.309012e-22, 1.285981e-13
2.868421e-03, 4.866092e-22, 9.886110e-14
2.631579e-03, 6.062699e-22, 9.492972e-14
2.394737e-03, 5.181067e-22, 7.274098e-14
2.157895e-03, 5.793776e-22, 5.645375e-14
1.921053e-03, 5.689245e-22, 4.789999e-14
1.684211e-03, 6.183228e-22, 3.246721e-14
1.447368e-03, 5.854526e-22, 2.588547e-14
1.210526e-03, 6.482920e-22, 1.821000e-14
9.736842e-04, 6.430658e-22, 1.107169e-14
7.368421e-04, 6.162028e-22, 6.902145e-15
5.000000e-04, 6.611598e-22, 2.933528e-15
