# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi) 
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-12 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 4.714725e-18, 2.104717e-10
4.763158e-03, 5.313757e-18, 9.857949e-11
4.526316e-03, 5.126133e-18, 9.549481e-11
4.289474e-03, 5.391725e-18, 1.391157e-10
4.052632e-03, 5.470943e-18, 6.491386e-11
3.815789e-03, 5.304663e-18, 1.082348e-10
3.578947e-03, 5.027394e-18, 8.846307e-11
3.342105e-03, 5.845864e-18, 4.350775e-11
3.105263e-03, 5.874873e-18, 6.985265e-11
2.868421e-03, 6.194593e-18, 3.308035e-11
2.631579e-03, 6.121497e-18, 2.766560e-11
2.394737e-03, 5.873484e-18, 2.469014e-11
2.157895e-03, 6.325579e-18, 3.384240e-11
1.921053e-03, 6.118948e-18, 2.571136e-11
1.684211e-03, 6.136017e-18, 1.224938e-11
1.447368e-03, 6.598565e-18, 1.600848e-11
1.210526e-03, 6.317527e-18, 1.077122e-11
9.736842e-04, 6.577938e-18, 6.549461e-12
7.368421e-04, 6.811031e-18, 5.841373e-12
5.000000e-04, 6.575154e-18, 4.637330e-12
