# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 1256.637061 - pi/2) * fld(mod2pi(abs(x) * 1256.637061 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, -7.113482e-23, 2.949635e-11
4.763158e-03, 1.692457e-23, 2.637045e-11
4.526316e-03, 7.577047e-24, 2.387464e-11
4.289474e-03, 8.822104e-23, 2.038636e-11
4.052632e-03, -2.343283e-23, 1.896701e-11
3.815789e-03, 6.302441e-23, 1.574149e-11
3.578947e-03, 8.682107e-23, 1.483626e-11
3.342105e-03, 2.124675e-22, 1.340477e-11
3.105263e-03, 1.443844e-22, 1.103254e-11
2.868421e-03, 2.362157e-22, 9.246644e-12
2.631579e-03, 3.351696e-22, 7.906695e-12
2.394737e-03, 3.244027e-22, 6.357654e-12
2.157895e-03, 3.056124e-22, 5.116083e-12
1.921053e-03, 3.924540e-22, 4.124381e-12
1.684211e-03, 4.070798e-22, 2.960831e-12
1.447368e-03, 3.840277e-22, 2.120733e-12
1.210526e-03, 4.528885e-22, 1.339805e-12
9.736842e-04, 4.829448e-22, 8.907345e-13
7.368421e-04, 5.494531e-22, 4.728651e-13
5.000000e-04, 6.062974e-22, 1.945968e-13
