# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 125.663706 - pi/2) * fld(mod2pi(abs(x) * 125.663706 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 2.985241e-22, 1.171087e-14
4.763158e-03, 6.409106e-22, 1.117311e-14
4.526316e-03, 5.064464e-22, 8.616496e-15
4.289474e-03, 4.399836e-22, 8.208831e-15
4.052632e-03, 4.908339e-22, 7.846074e-15
3.815789e-03, 5.171810e-22, 6.006430e-15
3.578947e-03, 5.379758e-22, 5.616229e-15
3.342105e-03, 6.186733e-22, 5.381433e-15
3.105263e-03, 4.932873e-22, 3.950371e-15
2.868421e-03, 4.843252e-22, 3.946888e-15
2.631579e-03, 5.433131e-22, 3.358463e-15
2.394737e-03, 6.094885e-22, 2.374010e-15
2.157895e-03, 6.440643e-22, 2.280999e-15
1.921053e-03, 6.378910e-22, 1.905274e-15
1.684211e-03, 6.629462e-22, 1.229128e-15
1.447368e-03, 6.226729e-22, 1.069386e-15
1.210526e-03, 6.521172e-22, 8.369956e-16
9.736842e-04, 6.581254e-22, 4.540659e-16
7.368421e-04, 6.995744e-22, 3.307586e-16
5.000000e-04, 7.030847e-22, 1.592759e-16
