# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.000100 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 4000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 5.529706e-22, 9.543012e-15
4.763158e-03, 4.847302e-22, 7.004476e-15
4.526316e-03, 5.222546e-22, 7.243455e-15
4.289474e-03, 6.703452e-22, 5.836106e-15
4.052632e-03, 4.285788e-22, 4.812684e-15
3.815789e-03, 5.726171e-22, 5.040872e-15
3.578947e-03, 5.175614e-22, 3.774025e-15
3.342105e-03, 6.494068e-22, 3.136953e-15
3.105263e-03, 5.541357e-22, 3.235434e-15
2.868421e-03, 6.635767e-22, 2.265810e-15
2.631579e-03, 5.654694e-22, 2.159516e-15
2.394737e-03, 6.279590e-22, 1.889915e-15
2.157895e-03, 6.757433e-22, 1.331434e-15
1.921053e-03, 6.109014e-22, 1.235546e-15
1.684211e-03, 6.360012e-22, 8.347501e-16
1.447368e-03, 6.641445e-22, 5.818528e-16
1.210526e-03, 6.486785e-22, 4.882874e-16
9.736842e-04, 6.856284e-22, 2.688455e-16
7.368421e-04, 7.135117e-22, 1.727005e-16
5.000000e-04, 6.702035e-22, 8.786221e-17
