# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.000500 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 4000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 5.580759e-22, 5.488456e-13
4.763158e-03, 4.401276e-22, 5.376781e-13
4.526316e-03, 3.948557e-22, 3.672068e-13
4.289474e-03, 3.860016e-22, 3.984955e-13
4.052632e-03, 5.782733e-22, 3.404295e-13
3.815789e-03, 5.292772e-22, 2.649175e-13
3.578947e-03, 5.601768e-22, 2.949618e-13
3.342105e-03, 5.632753e-22, 2.101300e-13
3.105263e-03, 4.574623e-22, 1.767035e-13
2.868421e-03, 5.000186e-22, 1.666207e-13
2.631579e-03, 5.561315e-22, 1.044228e-13
2.394737e-03, 6.063041e-22, 1.245321e-13
2.157895e-03, 6.691159e-22, 7.032199e-14
1.921053e-03, 5.338923e-22, 7.415732e-14
1.684211e-03, 6.337735e-22, 5.266673e-14
1.447368e-03, 5.839857e-22, 3.803336e-14
1.210526e-03, 7.005869e-22, 2.843631e-14
9.736842e-04, 6.532073e-22, 1.515004e-14
7.368421e-04, 6.739105e-22, 1.209364e-14
5.000000e-04, 6.740973e-22, 4.546295e-15
