# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi)
# outer_perturb = (x,z) -> 0.0
# BS_points = 4000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-16 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 3.328427e-22, 6.519009e-12
4.763158e-03, 5.632337e-22, 3.024135e-12
4.526316e-03, 3.371004e-22, 2.906439e-12
4.289474e-03, 3.816689e-22, 4.402622e-12
4.052632e-03, 3.415506e-22, 2.021199e-12
3.815789e-03, 4.215472e-22, 3.325490e-12
3.578947e-03, 4.586353e-22, 2.695254e-12
3.342105e-03, 3.980281e-22, 1.298032e-12
3.105263e-03, 5.695867e-22, 2.089303e-12
2.868421e-03, 4.901322e-22, 9.551315e-13
2.631579e-03, 4.894441e-22, 7.896800e-13
2.394737e-03, 5.029000e-22, 6.855126e-13
2.157895e-03, 5.499121e-22, 1.007213e-12
1.921053e-03, 5.087389e-22, 6.882838e-13
1.684211e-03, 5.403363e-22, 2.971310e-13
1.447368e-03, 5.842341e-22, 4.064420e-13
1.210526e-03, 5.579863e-22, 2.325198e-13
9.736842e-04, 5.953696e-22, 1.071256e-13
7.368421e-04, 6.298921e-22, 7.846466e-14
5.000000e-04, 5.775619e-22, 3.835630e-14
