# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi) 
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-13 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 5.438625e-19, 1.034674e-11
4.763158e-03, 5.369818e-19, 4.847537e-12
4.526316e-03, 4.575075e-19, 4.692473e-12
4.289474e-03, 5.158838e-19, 6.698763e-12
4.052632e-03, 5.144400e-19, 3.186906e-12
3.815789e-03, 5.209045e-19, 5.211891e-12
3.578947e-03, 5.525989e-19, 4.274636e-12
3.342105e-03, 5.860805e-19, 2.089172e-12
3.105263e-03, 5.944322e-19, 3.338579e-12
2.868421e-03, 5.657927e-19, 1.553434e-12
2.631579e-03, 5.824869e-19, 1.295296e-12
2.394737e-03, 5.997447e-19, 1.139086e-12
2.157895e-03, 6.110854e-19, 1.543873e-12
1.921053e-03, 6.115850e-19, 1.128362e-12
1.684211e-03, 6.069159e-19, 5.024201e-13
1.447368e-03, 6.503973e-19, 6.689150e-13
1.210526e-03, 6.693918e-19, 4.088757e-13
9.736842e-04, 6.453113e-19, 2.047532e-13
7.368421e-04, 6.208426e-19, 1.606910e-13
5.000000e-04, 6.886784e-19, 9.644959e-14
