# 2D brain simulation: Stokes normal velocity on interface as a function of fluid path width
#
# --- Brain parameters (fixed) --- #
# lc = 2.000000e-04 
# arcLen = 0.100000 m
# r_brain = 0.010000 m
# d_ratio = NaN
# r_curv = 0.050000 m
# inner_perturb = (x,z) -> 0.001000 * sin(abs(x) * 628.318531 - pi/2) * fld(mod2pi(abs(x) * 628.318531 - pi/2),pi) 
# outer_perturb = (x,z) -> 0.0
# BS_points = 3000
# field_Lc_lim = (0.500000, 1.000000) 
# field_Dist_lim = (0.001000, 0.005000) m 
#
# --- PDE parameters (fixed=) --- #
# μ = 8.000000e-04 Pa*s
# Κ = 1.000000e-15 m^2
# α = (x) -> 1*μ/sqrt(Κ)
# ps0 = (x) -> x[1] < 0 ? 1*133.3224 : 0.
# ∇pd0 = (x) -> VectorValue(0.0, 0.0)
#
# --- Sampling --- #
# num_samples = 20
# width = [5.000e-03, 4.763e-03, 4.526e-03, 4.289e-03, 4.053e-03, 3.816e-03, 3.579e-03, 3.342e-03, 3.105e-03, 2.868e-03, 2.632e-03, 2.395e-03, 2.158e-03, 1.921e-03, 1.684e-03, 1.447e-03, 1.211e-03, 9.737e-04, 7.368e-04, 5.000e-04]
#
# --- Data --- #
width, u×n̂, (u×n̂)²
5.000000e-03, 4.776465e-21, 5.977871e-12
4.763158e-03, 5.037721e-21, 3.022574e-12
4.526316e-03, 5.052737e-21, 2.902032e-12
4.289474e-03, 5.263692e-21, 3.835841e-12
4.052632e-03, 5.235796e-21, 2.017078e-12
3.815789e-03, 5.371651e-21, 2.998217e-12
3.578947e-03, 5.690357e-21, 2.477789e-12
3.342105e-03, 5.785801e-21, 1.305057e-12
3.105263e-03, 5.576893e-21, 1.907587e-12
2.868421e-03, 5.922683e-21, 9.542418e-13
2.631579e-03, 6.103830e-21, 7.973401e-13
2.394737e-03, 6.269955e-21, 6.850315e-13
2.157895e-03, 5.708454e-21, 8.695343e-13
1.921053e-03, 6.640572e-21, 6.298359e-13
1.684211e-03, 6.339754e-21, 2.991006e-13
1.447368e-03, 6.536996e-21, 3.670748e-13
1.210526e-03, 6.106610e-21, 2.199829e-13
9.736842e-04, 6.593422e-21, 1.061286e-13
7.368421e-04, 6.942817e-21, 7.429612e-14
5.000000e-04, 6.493894e-21, 3.612630e-14
